"artist","album","release_date","tracks","album_type","markets"
"Kevin Gates","Islah","2016-01-29",17,"album",65
"LASER","Night Driver","2008-10-17",11,"album",65
"Allegiance Original Broadway Cast","Allegiance (Original Broadway Cast Recording)","2016-01-29",26,"compilation",65
"Milk Teeth","Vile Child","2016-01-29",12,"album",65
"Miranda Lee Richards","Echoes of the Dreamtime","2016-01-29",8,"album",65
"Money","Suicide Songs","2017-11-08",12,"album",65
"Night Beats","Who Sold My Generation?","2016-01-29",12,"album",65
"Pablo Nouvelle","All I Need","1968-01-01",12,"album",65
"Peppermint Heaven","Precious Things","2016-01-29",11,"album",65
"Phil Collins","Face Value (Deluxe)","1981-01-01",24,"album",65
"POP ETC","Souvenir","2017-03-24",11,"album",65
"Primal Fear","Rulebreaker","2016-01-29",13,"album",65
"Resurrection Kings","Resurrection Kings","2016-01-29",11,"album",65
"September Stories","Unopened Letter","2016-01-29",7,"album",65
"Serenity","Codex Atlanticus","2016-01-29",14,"album",65
"Sia","This Is Acting","2016-10-21",19,"album",65
"Sierra Hull","Weighted Mind","2016-01-01",12,"album",65
"Simo","Let Love Show the Way","2016-01-22",13,"album",65
"St. Lucia","Matter","2014-01-17",13,"album",65
"Tedeschi Trucks Band","Let Me Get By","2016-01-29",10,"album",65
"The Crookes","Lucky Ones","2004-01-01",12,"album",65
"Toothgrinder","Nocturnal Masquerade","2016-01-29",12,"album",65
"Tuff Love","Resort","2018-05-16",1,"single",65
"Turin Brakes","Lost Property","2016-01-29",11,"album",65
"Various Artists","Ultra Dance 2016","2016-03-13",46,"album",65
"Various Artists","WOW Gospel 2016","2016-01-29",30,"compilation",65
"Walking On Cars","Everything This Way","2016-01-29",12,"album",65
"Walter Martin","Arts & Leisure","2015-10-09",10,"album",65
"Wet","Don't You","2006-01-01",11,"album",65
"Wolfgang Gartner","10 Ways to Steal Home Plate","2016-09-09",10,"album",65
"Yanni","Sensuous Chill","2016-01-29",17,"album",65
"Meek Mill","4/4 Pt. 2","2015-10-01",20,"album",65
"TŸSHE","No Dreams","2018-09-14",11,"album",65
"Adesuwa – Air Light EP","5/5","2016-03-04",15,"album",65
"Audio Push","Inside The Vibe","2018-08-21",8,"album",65
"Nick Grant","'88","2018-08-22",11,"album",65
"Trill Sammy","RED Album (EP)","2013-06-23",6,"single",65
"4Minute","Act. 7","2016-02-01",5,"single",65
"Deux Filles","Space & Time","2018-10-19",1,"single",65
"Alan Cumming","Alan Cumming Sings Sappy Songs: Live at the Café Carlyle","2016-02-05",27,"album",65
"Anchor & Braille","Songs for the Late Night Drive Home","2016-02-05",10,"album",65
"Axel Rudi Pell","Game of Sins","2016-01-15",10,"album",65
"Banda Sinaloense MS de Sergio Lizarraga","Que Bendición","2016-02-05",13,"album",65
"Beacon","Escapements","2016-02-05",11,"album",65
"Boosie Badazz","Out My Feelings (In My Past)","2016-02-05",18,"album",65
"Breakbot","Still Waters","2016-02-05",13,"album",65
"Charles Kelley","The Driver","2016-02-05",9,"album",65
"DIIV","Is the Is Are","2016-02-05",17,"album",65
"Dressy Bessy","Kingsized","2016-02-05",13,"album",65
"Drowning Pool","Hellelujah","2016-02-05",13,"album",65
"Elevation Worship","Here as in Heaven","2016-02-05",13,"album",65
"Elton John","Wonderful Crazy Night","2016-02-05",12,"album",65
"Eryn Allen Kane","Aviary: Act II","2016-02-16",5,"single",65
"Escondido","Walking with a Stranger","2016-02-05",10,"album",65
"Field Music","Commontime","2016-02-05",14,"album",65
"Fleshgod Apocalypse","King","1994-01-01",12,"compilation",65
"Foxes","All I Need","1968-01-01",12,"album",65
"Future","EVOL","2016-04-13",12,"album",65
"Gabriel Kahane & Brooklyn Rider","The Fiction Issue","2016-02-05",10,"album",65
"Hey Marseilles","Hey Marseilles","2016-02-05",11,"album",65
"Jason Collett","Song and Dance Man","2016-02-05",13,"album",65
"Junior Boys","Big Black Coat","2016-02-05",11,"album",65
"KING","We Are King","2016-02-05",12,"album",65
"King Mud","Victory Motel Sessions","2016-02-05",10,"album",65
"Leon Bridges","Coming Home (Deluxe)","2016-02-05",15,"album",65
"Lion Babe","Begin","2012-04-17",15,"album",65
"Tender","Tender EP II","2016-02-12",5,"single",65
"The Coffin Daggers","Aggravatin' Rhythms","2016-02-12",14,"album",65
"The Frights","You Are Going to Hate This","2016-02-12",10,"album",65
"The Jezabels","Synthia","2017-09-21",10,"album",65
"The Record Company","Give It Back to You","2016-01-01",10,"album",65
"The Suffers","The Suffers","2016-02-12",10,"album",65
"Ute Lemper","The 9 Secrets","2016-02-12",12,"album",65
"Various Artists","Vinyl (Music from the HBO Original Series, Vol. 1)","2016-02-12",18,"album",65
"Vince Gill","Down to My Last Bad Habit","2016-02-12",12,"album",65
"Wynonna & the Big Noise","Wynonna & the Big Noise","1992-03-31",10,"album",65
"A Boogie Wit Da Hoodie","Artist","2016-09-16",11,"album",65
"Kanye West","The Life of Pablo","2016-06-10",20,"album",65
"Milk! Records","Good For You","2017-07-28",15,"album",65
"Mya","Smoove Jones","2016-02-23",12,"album",65
"ROZES","Burn Wild","2016-03-29",1,"single",65
"Ella Mai","Time EP","2018-08-24",4,"single",65
"Illenium","Ashes","2016-02-15",10,"album",65
"Eliza and the Bear","Eliza and the Bear","2016-04-08",11,"album",65
"YNF Lucci","Wish Me Well 2","2017-06-09",18,"album",65
"Kirko Bangz","Playa Made","2018-08-16",1,"single",65
"Adept","Sleepless","2018-03-12",5,"single",65
"After The Burial","Dig Deep","2016-02-19",9,"album",65
"Animal Collective","Painting With","2016-09-09",14,"album",65
"Astronautalis","Sike!","2016-02-19",7,"album",65
"BJ The Chicago Kid","In My Mind","2018-06-08",1,"single",65
"Blowfly","77 Rusty Trombones","2016-02-19",13,"album",65
"Byrne and Kelly","Echoes","2007-09-25",12,"album",65
"Carrie Rodriguez","Lola","1970-11-27",16,"album",65
"Crazy Ex-Girlfriend Cast","Crazy Ex-Girlfriend: Original Television Soundtrack (Season 1","2016-06-10",101,"album",65
"Delain","Lunar Prelude","2016-02-19",8,"album",65
"Doug Tuttle","It Calls on Me","2016-02-19",9,"album",65
"Factory Brains","Hard Labor","2011-01-01",9,"album",65
"Feels","Feels","2017-10-20",13,"album",65
"French Montana","Wave Gods","2017-05-21",1,"single",65
"Glen Hansard","A Season on the Line","2016-02-19",4,"single",65
"Golden Daze","Golden Daze","2016-11-21",4,"single",65
"Hilltop Hoods","Drinking From The Sun, Walking Under Stars Restrung","2016-02-19",19,"album",65
"Ida Gard","Womb","2018-08-03",7,"album",65
"Inglorious","Inglorious","2017-01-30",14,"album",65
"Jack Garratt","Phase","2017-11-17",14,"album",65
"Johnny Rawls","Tiger in a Cage","2016-02-19",12,"album",65
"Jordan Klassen","Javelin","2010-04-06",15,"album",65
"Josef Salvat","Night Swim","2017-06-18",7,"album",65
"Lais – 114 EP","7/7","1977-09-16",16,"album",65
"Lake Street Dive","Side Pony","2016-02-19",12,"album",65
"Last in Line","Heavy Crown","2014-10-21",14,"album",65
"Like Pacific – Distant Like You Asked","10/10","2017-03-24",1,"single",65
"LNZNDRF","LNZNDRF","2016-02-19",8,"album",65
"Lushlife & CSLSX","Ritualize","2016-02-19",12,"album",65
"Marlon Williams","Marlon Williams","2018-02-16",11,"album",65
"Mavis Staples","Livin' On A High Note","2016-02-19",12,"album",65
"Meredith Andrews","Deeper","2017-08-25",10,"album",65
"Michael Nau","Mowing","2016-02-19",11,"album",65
"Monster Truck","Sittin' Heavy","2016-02-19",11,"album",65
"Ra Ra Riot","Need Your Light","2016-02-19",10,"album",65
"Rachel Portman","Race (Original Motion Picture Soundtrack)","2013-11-09",14,"album",65
"Rick Springfield","Rocket Science","2018-09-07",2,"single",65
"Rosie Lowe","Control","2017-12-08",30,"album",65
"Simple Plan","Taking One for the Team","2016-02-19",14,"album",65
"Sister Hazel","Lighter in the Dark","2016-02-19",14,"album",65
"Somos","First Day Back","2016-02-19",11,"album",65
"The Cave Singers","Banshee","2012-09-01",15,"album",65
"The Shivas","Better Off Dead","2018-10-11",16,"album",65
"Vandaveer","the Wild Mercury","2016-02-19",10,"album",65
"Various Artists","The Color Purple (New Broadway Cast Recording)","2005-01-01",29,"compilation",65
"Venetian Snares","Traditional Synthesizer Music","2016-02-19",12,"album",65
"Wild Nothing","Life of Pause","2016-02-19",11,"album",65
"Wolfmother","Victorious","2011-08-01",12,"album",65
"Yo Gotti","The Art of Hustle","2016-02-19",15,"album",65
"Yoko Ono","Yes, I'm a Witch Too","2015-12-19",17,"album",65
"Young Dolph","King Of Memphis","2016-02-19",11,"album",65
"Christina Grimmie","Side A","2018-03-16",6,"single",65
"Yung Lean","Warlord","2016-02-25",19,"album",65
"8 Ball Aitken","8 Ball Aitken","2018-02-02",12,"album",65
"Adelitas Way","Getaway","2016-06-17",13,"album",65
"Anthrax","For All Kings","2016-03-25",11,"album",65
"Anvil","Anvil Is Anvil","2016-02-26",11,"album",65
"Bill Carter","Innocent Victims and Evil Companions","2016-02-26",14,"album",65
"Bob Woodruff","The Year We Tried to Kill the Pain","2016-02-26",13,"album",65
"Bombus","Repeat Until Death","2016-02-26",9,"album",65
"Bonnie Raitt","Dig In Deep","2016-02-26",12,"album",65
"Brian Cullman","The Opposite of Time","2016-02-26",12,"album",65
"Brian McKnight","Better","2017-05-19",1,"single",65
"Bullion","Loop the Loop","2018-04-27",5,"single",65
"Charli XCX","Vroom Vroom EP","2016-02-26",4,"single",65
"Dave Adkins","Dave Adkins","2018-03-09",10,"album",65
"Deströyer 666","Wildfire","2016-01-01",12,"album",65
"DMA's","Hills End","2016-02-26",12,"album",65
"Emitt Rhodes","Rainbow Ends","2016-02-26",11,"album",65
"Fallulah","Perfect Tense","2016-01-19",1,"single",65
"From Ashes to New","Day One","2018-07-27",1,"single",65
"Gene Watson","Real. Country. Music","2018-04-06",50,"compilation",65
"Greenleaf","Rise Above the Meadow","2016-02-26",10,"album",65
"Hands Like Houses","Dissonants","2016-02-26",12,"album",65
"Hillsong Young & Free","Youth Revival (Live)","2016-02-26",13,"album",65
"Frank Solivan","Family, Friends & Hereos","2012-06-08",18,"album",65
"Frank Turner","Mittens EP","2017-08-25",7,"single",65
"Granger Smith","Remington","2016-03-04",15,"album",65
"Greg Laswell","Everyone Thinks I Dodged a Bullet","2016-01-01",10,"album",65
"Guy Andrews","Our Spaces","2016-03-04",12,"album",65
"Hacktivist","Outside the Box","2013-11-11",12,"album",65
"Kano","Made in the Manor","2016-03-04",15,"album",65
"Kelly Richey","Shakedown Soul","2016-03-04",10,"album",65
"Kendrick Lamar","untitled unmastered.","2016-03-04",8,"album",65
"Kenny Barron Trio","Book of Intuition","2016-03-04",10,"album",65
"Låpsley","Long Way Home","2016-03-04",12,"album",65
"Loretta Lynn","Full Circle","2015-08-06",1,"single",65
"M. Ward","More Rain","2016-03-01",28,"album",65
"Miike Snow","iii","2008-01-01",16,"album",65
"Mortiis","The Great Deceiver","2016-03-04",12,"album",65
"Nada Surf","You Know Who You Are","2013-02-12",16,"album",65
"Newsboys","Love Riot","2016-03-04",10,"album",65
"Ninja Sex Party","Under the Covers","2017-10-27",12,"album",65
"POLIÇA","United Crushers","2016-03-04",12,"album",65
"Ray LaMontagne","Ouroboros","2016-03-04",8,"album",65
"Reed Turchi","Speaking in Shadows","2016-03-04",12,"album",65
"Robert Pollard","Of Course You Are","2016-03-04",12,"album",65
"Samiyam","Animals Have Feelings","2016-03-04",22,"album",65
"Sound of Ceres","Nostalgia for Infinity","2016-03-04",10,"album",65
"Steven Curtis Chapman","Worship and Believe","2016-03-04",17,"album",65
"Thao & The Get Down Stay Down","A Man Alive","2016-03-04",12,"album",65
"The Coral","Distance Inbetween","2016-03-04",12,"album",65
"The Knocks","55","2016-03-04",15,"album",65
"The Rubens","Hoops","2016-02-19",11,"album",65
"The Three Degrees","Strategy: Our Tribute to Philadelphia","2016-03-04",9,"album",65
"Tiga","No Fantasy Required","2016-03-04",11,"album",65
"Tim Hockenberry","Tim Hockenberry","2005-01-01",12,"album",65
"Tonight Alive","Limitless","2017-01-06",6,"single",65
"Tyson Motsenbocker","Letters to Lost Loves","2016-03-04",10,"album",65
"Unified Highway","Unified Highway","2016-03-04",13,"album",65
"Wall of Death","Loveland","2018-04-06",7,"album",65
"Wintersleep","The Great Detachment","2016-03-04",11,"album",65
"Wussy","Forever Sounds","2018-06-21",1,"single",65
"Years & Years","Communion (Deluxe)","2015-06-22",18,"album",65
"Yndi Halda","Under Summer","2008-01-01",12,"album",65
"Roscoe Dash 2.0","Glitch","2018-09-28",1,"single",65
"Chris Standring","Ten","1991-08-27",11,"album",65
"Denzel Curry","Imperial","2016-10-14",10,"album",65
"3 Doors Down","Us and the Night","2016-03-11",11,"album",65
"Adore Delano","After Party","2017-02-03",13,"album",65
"Amir Obe","Won't Find Love in the Hills","2016-03-11",3,"single",65
"AURORA","All My Demons Greeting Me as a Friend","2016-03-11",17,"album",65
"Bethel Music","Have It All (Live)","2016-03-11",16,"album",65
"Blancmange","Commuter 23","2016-03-11",14,"album",65
"Brian Fallon","Painkillers","2016-03-11",12,"album",65
"Cardi B","Gangsta Bitch Music Vol. 1","2016-03-07",13,"album",65
"Christon Gray","The Glory Album","2016-03-11",13,"album",65
"Citizen Way","2.0","2018-06-22",12,"album",65
"Daniel Ellsworth & The Great Lakes","Bemidji","2016-03-11",5,"single",65
"Darrein Safron","The Brilliant EP","2016-03-11",7,"single",65
"Desert Mountain Tribe","Either That or the Moon","2016-03-11",11,"album",65
"DIBIA$E","Baker's Dozen","2018-06-22",13,"album",65
"Emmy the Great","Second Love","2015-07-07",14,"album",65
"Flatbush Zombies","3001: A Laced Odyssey","2016-03-11",12,"album",65
"Gavin James","Bitter Pill","2016-03-11",13,"album",65
"Holy Wave","Freaks of Nurture","2016-03-11",10,"album",65
"Information Society","Orders of Magnitude","2016-03-11",11,"album",65
"Into It. Over It.","Standards","2017-12-12",1,"single",65
"Jeff Buckley","You and I","2009-01-01",13,"album",65
"Jeremy Gara"," Limn","2016-03-11",10,"album",65
"Joywave","SWISH","2018-07-25",1,"single",65
"Kap G","El Southside","2016-03-12",10,"album",65
"Keith Harkin","On Mercy Street","2016-03-11",12,"album",65
"Kill J","Quasi EP","2018-01-10",6,"single",65
"Killswitch Engage","Incarnate","2016-03-11",15,"album",65
"La Yegros","Magnetismo","2016-03-11",10,"album",65
"Little Green Cars","Ephemera","2015-03-11",12,"album",65
"Matt Corby","Telluric","2016-03-11",11,"album",65
"Movements","Outgrown Things","2016-03-11",6,"single",65
"Nine Lashes","Ascend","2015-03-23",11,"album",65
"Normandie","INGUZ","2016-03-11",10,"album",65
"Obsidian Kingdom","A Year With No Summer","2016-03-11",7,"album",65
"Parachute","Wide Awake","2005-01-25",10,"album",65
"Pete Yorn","ArrangingTime","2016-03-11",12,"album",65
"Randy Houser","Fired Up","2016-03-11",17,"album",65
"Rita Wilson","Rita Wilson","2018-09-28",12,"album",65
"Shooter Jennings","Countach (for Giorgio)","2016-03-11",9,"album",65
"Star & Micey","Get 'Em Next Time","2016-03-11",13,"album",65
"The KVB","Of Desire","2013-05-14",10,"album",65
"The Wild Feathers","Lonely Is A Lifetime","2016-03-11",11,"album",65
"The Goon Sax","Up To Anything","2016-03-11",12,"album",65
"Various Artists","How to Get Away with Murder (Original Television Series Soundtrack)","2016-03-11",14,"compilation",65
"Westside Gunn","FLYGOD","2018-03-23",6,"single",65
"Kamaiyah","A Good Night in the Ghetto","2016-03-23",16,"album",65
"Blac Youngsta","Young & Reckless","2017-02-10",12,"album",65
"Jillian Jacqueline","Jillian Jacqueline","2018-08-17",1,"single",65
"Jim Brickman","Pure Cinema","2016-03-25",13,"album",65
"Joe Bonamassa","Blues of Desperation","2016-03-25",11,"album",65
"K. Michelle","More Issues Than Vogue","2016-03-25",12,"album",65
"Kiran Leonard","Grapefruit","2013-10-08",1,"single",65
"Lee Aaron","Fire and Gasoline","2017-11-24",11,"album",65
"Lee Harvey Osmond","Beautiful Scars","2016-10-21",5,"single",65
"Lincoln Durham","Revelations of a Mind Unraveling","2016-03-25",10,"album",65
"Lontalius","I'll Forget 17","2016-03-25",10,"album",65
"Margo Price","Midwest Farmer's Daughter","2016-03-25",11,"album",65
"Metal Church","XI","2017-05-22",3,"single",65
"Parker Millsap","The Very Last Day","2016-03-25",11,"album",65
"Photay","Sadie","2018-04-17",3,"single",65
"Plague Vendor","BLOODSWEAT","2016-03-25",11,"album",65
"Radical Face","The Family Tree: The Leaves","2016-03-25",10,"album",65
"Red Sky July","The Truth and the Lie","2014-09-29",24,"album",65
"RJD2","Dame Fortune","2016-03-25",12,"album",65
"Robin Trower","Where Are You Going To","2016-03-25",10,"album",65
"Sarah Aroeste","Ora de Despertar","2016-03-25",11,"album",65
"SBTRKT","SAVE YOURSELF","2016-03-25",8,"album",65
"Seven Lions","Creation","2016-03-25",7,"album",65
"Spiritual Beggars","Sunrise to Sundown","2016-03-18",11,"album",65
"Take 6","Believe","2012-01-01",17,"album",65
"The Joy Formidable","Hitch","1984-08-21",12,"album",65
"The Ragbirds","The Threshold & the Hearth","1969-04-25",22,"album",65
"The Range","Potential","2018-05-15",1,"single",65
"The Thermals","We Disappear","2016-03-25",10,"album",65
"Ty Dolla $ign","Free TC (Deluxe)","2016-03-25",20,"album",65
"The Original London Cast of American Psycho","American Psycho (Original London Cast Recording)","2016-01-01",22,"album",65
"White Denim","Stiff","2018-06-22",1,"single",65
"Young and Heartless","Stay Away","2018-06-20",1,"single",65
"ZAYN","Mind Of Mine","2016-03-25",18,"album",65
"BROCKHAMPTON","All-American Trash","2016-04-11",13,"album",65
"Faydee","Legendary EP","2017-12-08",6,"single",65
"Babeo Baggins","Love Songs For Tough Guys","2009-11-19",12,"album",65
"Genre Peak","Your Sleekest Engine","2016-04-01",9,"album",65
"Kyze","Just Because EP","2016-09-05",4,"single",65
"48Hours","Expectations","2018-06-22",14,"album",65
"Andrew Bird","Are You Serious","2016-01-01",11,"album",65
"Anoushka Shankar","Land of Gold","2016-04-01",11,"album",65
"Autolux","PUSSY'S DEAD","2016-04-01",10,"album",65
"Azizi Gibson","A New Life","2016-11-07",13,"album",65
"BABYMETAL","Metal Resistance","2016-04-01",12,"album",65
"Berner","Hempire","2016-04-01",18,"album",65
"Bibio","A Mineral Love","2016-04-01",13,"album",65
"Bill Charlap Trio","Notes from New York","2016-04-01",9,"album",65
"Black Mountain","IV","2011-01-01",18,"album",65
"Black Stone Cherry","Kentucky","2016-04-01",15,"album",65
"Bleached","Welcome the Worms","2016-04-01",10,"album",65
"Bombino","Azel","2016-04-01",10,"album",65
"Boulevards","Groove!","1995-07-25",14,"album",65
"Charles Bradley","Changes","2017-09-08",14,"album",65
"Cheap Trick","Bang, Zoom, Crazy...Hello","2016-01-01",11,"album",65
"Devour the Day","S.O.A.R.","2016-01-01",10,"album",65
"Dinner","Psychic Lovers","2016-04-01",11,"album",65
"dvsn","Sept. 5th","2016-05-27",12,"album",65
"entheos","The Infinite Nothing","2016-04-01",8,"album",65
"Explosions in the Sky","The Wilderness","2014-10-14",10,"album",65
"Euroz","For No Good Reason","2017-11-30",10,"album",65
"Flatland Cavalry","Humble Folks","2016-04-01",11,"album",65
"Frankie Cosmos","Next Thing","2016-04-01",15,"album",65
"Gareth Emery","100 Reasons to Live","2016-04-01",14,"album",65
"Hammock","Everything and Nothing","2015-06-09",9,"album",65
"Hellsingland Underground","Understanding Gravity","2016-04-01",12,"album",65
"Howard Goodall","Bend It Like Beckham","2015-08-14",17,"album",65
"Iamthemorning","Lighthouse","2016-11-11",1,"single",65
"In Dying Arms","Original Sin","2018-03-23",42,"album",65
"Jhene Aiko x Big Sean","Twenty88","2016-04-01",8,"album",65
"John Congleton and the Nighty Nite","Until the Horror Goes","2016-04-01",10,"album",65
"Laura Gibson","Empire Builder","2016-04-01",10,"album",65
