"artist","album","release_date","tracks","album_type","markets","target"
"Ida Gard","Womb",2018-08-03,7,"album",65,0
"Inglorious","Inglorious",2017-01-30,14,"album",65,0
"Jack Garratt","Phase",2017-11-17,14,"album",65,0
"Johnny Rawls","Tiger in a Cage",2016-02-19,12,"album",65,1
"Jordan Klassen","Javelin",2010-04-06,15,"album",65,0
"Josef Salvat","Night Swim",2017-06-18,7,"album",65,0
"Lake Street Dive","Side Pony",2016-02-19,12,"album",65,1
"Last in Line","Heavy Crown",2014-10-21,14,"album",65,1
"Like Pacific – Distant Like You Asked","10/10",2017-03-24,1,"single",65,1
"LNZNDRF","LNZNDRF",2016-02-19,8,"album",65,1
"Lushlife & CSLSX","Ritualize",2016-02-19,12,"album",65,1
"Marlon Williams","Marlon Williams",2018-02-16,11,"album",65,0
"Mavis Staples","Livin' On A High Note",2016-02-19,12,"album",65,1
"Meredith Andrews","Deeper",2017-08-25,10,"album",65,1
"Michael Nau","Mowing",2016-02-19,11,"album",65,1
"Monster Truck","Sittin' Heavy",2016-02-19,11,"album",65,1
"Ra Ra Riot","Need Your Light",2016-02-19,10,"album",65,1
"Rachel Portman","Race (Original Motion Picture Soundtrack)",2013-11-09,14,"album",65,0
"Rick Springfield","Rocket Science",2018-09-07,2,"single",65,0
"Rosie Lowe","Control",2017-12-08,30,"album",65,0
"Simple Plan","Taking One for the Team",2016-02-19,14,"album",65,1
"Sister Hazel","Lighter in the Dark",2016-02-19,14,"album",65,1
"Somos","First Day Back",2016-02-19,11,"album",65,1
"The Cave Singers","Banshee",2012-09-01,15,"album",65,0
"The Shivas","Better Off Dead",2018-10-11,16,"album",65,0
"Vandaveer","the Wild Mercury",2016-02-19,10,"album",65,1
"Various Artists","The Color Purple (New Broadway Cast Recording)",2005-01-01,29,"compilation",65,0
"Venetian Snares","Traditional Synthesizer Music",2016-02-19,12,"album",65,1
"Wild Nothing","Life of Pause",2016-02-19,11,"album",65,1
"Wolfmother","Victorious",2011-08-01,12,"album",65,0
"Yo Gotti","The Art of Hustle",2016-02-19,15,"album",65,1
"Yoko Ono","Yes, I'm a Witch Too",2015-12-19,17,"album",65,0
"Young Dolph","King Of Memphis",2016-02-19,11,"album",65,1
"Christina Grimmie","Side A",2018-03-16,6,"single",65,0
"Yung Lean","Warlord",2016-02-25,19,"album",65,0
"8 Ball Aitken","8 Ball Aitken",2018-02-02,12,"album",65,0
"Adelitas Way","Getaway",2016-06-17,13,"album",65,0
"Anvil","Anvil Is Anvil",2016-02-26,11,"album",65,0
"Bill Carter","Innocent Victims and Evil Companions",2016-02-26,14,"album",65,0
"Bob Woodruff","The Year We Tried to Kill the Pain",2016-02-26,13,"album",65,0
"Bombus","Repeat Until Death",2016-02-26,9,"album",65,0
"Bonnie Raitt","Dig In Deep",2016-02-26,12,"album",65,0
"Brian Cullman","The Opposite of Time",2016-02-26,12,"album",65,0
"Brian McKnight","Better",2017-05-19,1,"single",65,0
"Bullion","Loop the Loop",2018-04-27,5,"single",65,1
"Charli XCX","Vroom Vroom EP",2016-02-26,4,"single",65,0
"Dave Adkins","Dave Adkins",2018-03-09,10,"album",65,0
"Deströyer 666","Wildfire",2016-01-01,12,"album",65,0
"DMA's","Hills End",2016-02-26,12,"album",65,0
"Emitt Rhodes","Rainbow Ends",2016-02-26,11,"album",65,0
"Fallulah","Perfect Tense",2016-01-19,1,"single",65,1
"From Ashes to New","Day One",2018-07-27,1,"single",65,1
"Gene Watson","Real. Country. Music",2018-04-06,50,"compilation",65,0
"Greenleaf","Rise Above the Meadow",2016-02-26,10,"album",65,0
"Hands Like Houses","Dissonants",2016-02-26,12,"album",65,0
"Hillsong Young & Free","Youth Revival (Live)",2016-02-26,13,"album",65,0
"Frank Solivan","Family, Friends & Hereos",2012-06-08,18,"album",65,0
"Frank Turner","Mittens EP",2017-08-25,7,"single",65,1
"Granger Smith","Remington",2016-03-04,15,"album",65,0
"Greg Laswell","Everyone Thinks I Dodged a Bullet",2016-01-01,10,"album",65,0
"Guy Andrews","Our Spaces",2016-03-04,12,"album",65,0
"Hacktivist","Outside the Box",2013-11-11,12,"album",65,0
"Kano","Made in the Manor",2016-03-04,15,"album",65,0
"Kelly Richey","Shakedown Soul",2016-03-04,10,"album",65,0
"Kendrick Lamar","untitled unmastered.",2016-03-04,8,"album",65,0
"Kenny Barron Trio","Book of Intuition",2016-03-04,10,"album",65,0
"Låpsley","Long Way Home",2016-03-04,12,"album",65,0
"Loretta Lynn","Full Circle",2015-08-06,1,"single",65,0
"M. Ward","More Rain",2016-03-01,28,"album",65,0
"Miike Snow","iii",2008-01-01,16,"album",65,0
"Mortiis","The Great Deceiver",2016-03-04,12,"album",65,0
"Nada Surf","You Know Who You Are",2013-02-12,16,"album",65,0
"Newsboys","Love Riot",2016-03-04,10,"album",65,0
"Ninja Sex Party","Under the Covers",2017-10-27,12,"album",65,1
"POLIÇA","United Crushers",2016-03-04,12,"album",65,0
"Ray LaMontagne","Ouroboros",2016-03-04,8,"album",65,0
"Reed Turchi","Speaking in Shadows",2016-03-04,12,"album",65,0
"Robert Pollard","Of Course You Are",2016-03-04,12,"album",65,0
"Samiyam","Animals Have Feelings",2016-03-04,22,"album",65,0
"Sound of Ceres","Nostalgia for Infinity",2016-03-04,10,"album",65,0
"Steven Curtis Chapman","Worship and Believe",2016-03-04,17,"album",65,0
"Thao & The Get Down Stay Down","A Man Alive",2016-03-04,12,"album",65,0
"The Coral","Distance Inbetween",2016-03-04,12,"album",65,0
"The Knocks","55",2016-03-04,15,"album",65,0
"The Rubens","Hoops",2016-02-19,11,"album",65,1
"The Three Degrees","Strategy: Our Tribute to Philadelphia",2016-03-04,9,"album",65,0
"Tiga","No Fantasy Required",2016-03-04,11,"album",65,0
"Tim Hockenberry","Tim Hockenberry",2005-01-01,12,"album",65,0
"Tonight Alive","Limitless",2017-01-06,6,"single",65,0
"Tyson Motsenbocker","Letters to Lost Loves",2016-03-04,10,"album",65,0
"Unified Highway","Unified Highway",2016-03-04,13,"album",65,0
"Wall of Death","Loveland",2018-04-06,7,"album",65,0
"Wintersleep","The Great Detachment",2016-03-04,11,"album",65,0
"Wussy","Forever Sounds",2018-06-21,1,"single",65,0
"Years & Years","Communion (Deluxe)",2015-06-22,18,"album",65,0
"Yndi Halda","Under Summer",2008-01-01,12,"album",65,0
"Roscoe Dash 2.0","Glitch",2018-09-28,1,"single",65,0
"Denzel Curry","Imperial",2016-10-14,10,"album",65,0
"3 Doors Down","Us and the Night",2016-03-11,11,"album",65,0
"Adore Delano","After Party",2017-02-03,13,"album",65,0
"Amir Obe","Won't Find Love in the Hills",2016-03-11,3,"single",65,0
"AURORA","All My Demons Greeting Me as a Friend",2016-03-11,17,"album",65,0
"Bethel Music","Have It All (Live)",2016-03-11,16,"album",65,0
"Blancmange","Commuter 23",2016-03-11,14,"album",65,0
"Brian Fallon","Painkillers",2016-03-11,12,"album",65,0
"Cardi B","Gangsta Bitch Music Vol. 1",2016-03-07,13,"album",65,0
"Christon Gray","The Glory Album",2016-03-11,13,"album",65,0
"Citizen Way","2.0",2018-06-22,12,"album",65,0
"Daniel Ellsworth & The Great Lakes","Bemidji",2016-03-11,5,"single",65,0
"Darrein Safron","The Brilliant EP",2016-03-11,7,"single",65,0
"Desert Mountain Tribe","Either That or the Moon",2016-03-11,11,"album",65,0
"DIBIA$E","Baker's Dozen",2018-06-22,13,"album",65,0
"Emmy the Great","Second Love",2015-07-07,14,"album",65,1
"Flatbush Zombies","3001: A Laced Odyssey",2016-03-11,12,"album",65,0
"Gavin James","Bitter Pill",2016-03-11,13,"album",65,0
"Holy Wave","Freaks of Nurture",2016-03-11,10,"album",65,0
"Information Society","Orders of Magnitude",2016-03-11,11,"album",65,0
"Into It. Over It.","Standards",2017-12-12,1,"single",65,0
"Jeff Buckley","You and I",2009-01-01,13,"album",65,0
"Jeremy Gara"," Limn",2016-03-11,10,"album",65,0
"Joywave","SWISH",2018-07-25,1,"single",65,1
"Kap G","El Southside",2016-03-12,10,"album",65,0
"Keith Harkin","On Mercy Street",2016-03-11,12,"album",65,0
"Kill J","Quasi EP",2018-01-10,6,"single",65,0
"Killswitch Engage","Incarnate",2016-03-11,15,"album",65,0
"La Yegros","Magnetismo",2016-03-11,10,"album",65,0
"Little Green Cars","Ephemera",2015-03-11,12,"album",65,0
"Matt Corby","Telluric",2016-03-11,11,"album",65,0
"Movements","Outgrown Things",2016-03-11,6,"single",65,0
"Nine Lashes","Ascend",2015-03-23,11,"album",65,0
"Normandie","INGUZ",2016-03-11,10,"album",65,0
"Obsidian Kingdom","A Year With No Summer",2016-03-11,7,"album",65,0
"Parachute","Wide Awake",2005-01-25,10,"album",65,1
"Pete Yorn","ArrangingTime",2016-03-11,12,"album",65,0
"Randy Houser","Fired Up",2016-03-11,17,"album",65,0
"Rita Wilson","Rita Wilson",2018-09-28,12,"album",65,0
"Shooter Jennings","Countach (for Giorgio)",2016-03-11,9,"album",65,0
"Star & Micey","Get 'Em Next Time",2016-03-11,13,"album",65,0
"The KVB","Of Desire",2013-05-14,10,"album",65,0
"The Wild Feathers","Lonely Is A Lifetime",2016-03-11,11,"album",65,0
"The Goon Sax","Up To Anything",2016-03-11,12,"album",65,0
"Various Artists","How to Get Away with Murder (Original Television Series Soundtrack)",2016-03-11,14,"compilation",65,0
"Westside Gunn","FLYGOD",2018-03-23,6,"single",65,0
"Kamaiyah","A Good Night in the Ghetto",2016-03-23,16,"album",65,0
"Blac Youngsta","Young & Reckless",2017-02-10,12,"album",65,0
"Jillian Jacqueline","Jillian Jacqueline",2018-08-17,1,"single",65,1
"Kiran Leonard","Grapefruit",2013-10-08,1,"single",65,1
"Lee Aaron","Fire and Gasoline",2017-11-24,11,"album",65,0
"Lee Harvey Osmond","Beautiful Scars",2016-10-21,5,"single",65,0
"Metal Church","XI",2017-05-22,3,"single",65,0
"Photay","Sadie",2018-04-17,3,"single",65,0
"Red Sky July","The Truth and the Lie",2014-09-29,24,"album",65,0
"Spiritual Beggars","Sunrise to Sundown",2016-03-18,11,"album",65,0
"Take 6","Believe",2012-01-01,17,"album",65,0
"The Range","Potential",2018-05-15,1,"single",65,0
"The Original London Cast of American Psycho","American Psycho (Original London Cast Recording)",2016-01-01,22,"album",65,0
"White Denim","Stiff",2018-06-22,1,"single",65,0
"Young and Heartless","Stay Away",2018-06-20,1,"single",65,0
"BROCKHAMPTON","All-American Trash",2016-04-11,13,"album",65,0
"Faydee","Legendary EP",2017-12-08,6,"single",65,0
"Babeo Baggins","Love Songs For Tough Guys",2009-11-19,12,"album",65,0
"Genre Peak","Your Sleekest Engine",2016-04-01,9,"album",65,0
"Kyze","Just Because EP",2016-09-05,4,"single",65,0
"48Hours","Expectations",2018-06-22,14,"album",65,0
"Andrew Bird","Are You Serious",2016-01-01,11,"album",65,0
"Anoushka Shankar","Land of Gold",2016-04-01,11,"album",65,0
"Autolux","PUSSY'S DEAD",2016-04-01,10,"album",65,0
"Azizi Gibson","A New Life",2016-11-07,13,"album",65,1
"BABYMETAL","Metal Resistance",2016-04-01,12,"album",65,0
"Berner","Hempire",2016-04-01,18,"album",65,0
"Bibio","A Mineral Love",2016-04-01,13,"album",65,0
"Bill Charlap Trio","Notes from New York",2016-04-01,9,"album",65,0
"Black Mountain","IV",2011-01-01,18,"album",65,0
"Black Stone Cherry","Kentucky",2016-04-01,15,"album",65,0
"Bleached","Welcome the Worms",2016-04-01,10,"album",65,0
"Bombino","Azel",2016-04-01,10,"album",65,0
"Charles Bradley","Changes",2017-09-08,14,"album",65,1
"Cheap Trick","Bang, Zoom, Crazy...Hello",2016-01-01,11,"album",65,0
"Devour the Day","S.O.A.R.",2016-01-01,10,"album",65,0
"Dinner","Psychic Lovers",2016-04-01,11,"album",65,0
"dvsn","Sept. 5th",2016-05-27,12,"album",65,0
"entheos","The Infinite Nothing",2016-04-01,8,"album",65,0
"Explosions in the Sky","The Wilderness",2014-10-14,10,"album",65,1
"Euroz","For No Good Reason",2017-11-30,10,"album",65,0
"Flatland Cavalry","Humble Folks",2016-04-01,11,"album",65,0
"Frankie Cosmos","Next Thing",2016-04-01,15,"album",65,0
"Gareth Emery","100 Reasons to Live",2016-04-01,14,"album",65,0
"Hammock","Everything and Nothing",2015-06-09,9,"album",65,0
"Hellsingland Underground","Understanding Gravity",2016-04-01,12,"album",65,0
"Howard Goodall","Bend It Like Beckham",2015-08-14,17,"album",65,0
"Iamthemorning","Lighthouse",2016-11-11,1,"single",65,0
"In Dying Arms","Original Sin",2018-03-23,42,"album",65,0
"Jhene Aiko x Big Sean","Twenty88",2016-04-01,8,"album",65,0
"John Congleton and the Nighty Nite","Until the Horror Goes",2016-04-01,10,"album",65,0
"Laura Gibson","Empire Builder",2016-04-01,10,"album",65,0
"Lukas Graham","Lukas Graham",2016-04-01,11,"album",65,0
"Marco Benevento","The Story of Fred Short",2016-04-01,11,"album",65,0
"Matthew Barber & Jill Barber","The Family Album",2016-09-09,14,"album",65,0
"Michael John LaChiusa","First Daughter Suite (Original Cast Recording)",2016-02-26,21,"album",65,0
"Mike & The Melvins","Three Men and a Baby",2016-04-01,12,"album",65,0
"Moderat","III",2008-01-01,16,"album",65,0
"Mogwai","Atomic",2003-01-01,12,"album",65,1
"Nelson Freitas","Four",2016-11-17,9,"album",65,0
"Operators","Blue Wave",2015-12-28,11,"album",65,0
"Polyenso","Pure in the Plastic",2016-04-01,10,"album",65,0
"Problem","Hotels 2: The Master Suite",2016-04-08,17,"album",65,0
"Purple","Bodacious",2016-04-01,12,"album",65,0
